SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty,MSRP,Store Price,Canco Price,Distributor Price,Inventory Lion - Warehouse YYC,Inventory Lion Imports USA Inc.,Inventory Lion USA - Broadrange Logistics,Inventory Lion USA - Gunship 3PL Utah,Inventory Lion USA - Warehouse Ferndale WA,Inventory Zaks - Edmonton Warehouse,Inventory Zaks - Main Warehouse YYC
00270,ZAKS 3.5oz Landjaeger - Original,Meat,,US,FALSE,FALSE,FALSE,,,0,5.84,,,0,0,0,0,861,0,0
00271,ZAKS 3.5oz Landjaeger - Hot,Meat,,US,FALSE,FALSE,FALSE,,,0,5.84,,,0,0,0,0,775,0,0
00273,ZAKS 3.5oz Landjaeger - Garlic,Meat,,US,FALSE,FALSE,FALSE,,,0,5.84,,,0,0,0,0,955,0,0
00275,THE BUTCHER 3.2oz Landjaeger - Original,Meat,,US,FALSE,FALSE,FALSE,5,100,0,4.54,,3.4,0,0,0,0,0,0,0
00276,THE BUTCHER 3.2oz Landjaeger - Teriyaki,Meat,,US,FALSE,FALSE,FALSE,5,100,0,4.54,,3.4,0,0,0,0,0,0,0
00277,THE BUTCHER 3.2oz Landjaeger - Hot,Meat,,US,FALSE,FALSE,FALSE,5,100,0,4.54,,3.4,0,0,0,0,0,0,0
00278,THE BUTCHER 3.2oz Landjaeger - Peppered,Meat,,US,FALSE,FALSE,FALSE,5,100,0,4.54,,3.4,0,0,0,0,0,0,0
00279,THE BUTCHER 3.2oz Landjaeger - Garlic,Meat,,US,FALSE,FALSE,FALSE,5,100,0,4.54,,3.4,0,0,0,0,0,0,0
00801,THE BUTCHER 50g Pepperoni - Hot,Meat,,CA,FALSE,FALSE,FALSE,25,100,3.49,2.27,2.2,1.7,0,0,0,0,0,123,935
00802,THE BUTCHER 50g Pepperoni - Mild,Meat,,CA,FALSE,FALSE,FALSE,25,100,3.49,2.27,2.2,1.7,0,0,0,0,0,5,0
00821,THE BUTCHER 45g Original Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72,0,,3.83,,0,0,0,0,0,0,0
00822,THE BUTCHER 45g Peppered Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72,0,,3.83,,0,0,0,0,0,0,0
00823,THE BUTCHER 45g Teriyaki Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72,0,,3.83,,0,0,0,0,0,0,0
00824,THE BUTCHER 45g Sweet Chili Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72,0,,3.83,,0,0,0,0,0,0,0
00841,THE BUTCHER 45g Original Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,12,12,0,,,,0,0,0,0,0,0,0
00842,THE BUTCHER 45g Peppered Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12,0,,,,0,0,0,0,0,0,0
00843,THE BUTCHER 45g Teriyaki Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12,0,,,,0,0,0,0,0,0,0
00844,THE BUTCHER 45g Sweet Chili Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12,0,,,,0,0,0,0,0,0,0
00851,THE BUTCHER 20g Jerky Chew - Original,Meat,,,FALSE,TRUE,FALSE,10,100,0,,,,0,0,0,0,0,0,0
00852,THE BUTCHER 20g Jerky Chew - Teriyaki,Meat,,,FALSE,TRUE,FALSE,10,100,0,,,,0,0,0,0,0,0,0
00891 - J,THE BUTCHER 20g Jerky Chew - Original - Plastic Jar Kit,Kits,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
00892 - J,THE BUTCHER 20g Jerky Chew - Teriyaki - Plastic Jar Kit,Kits,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
00931,ZAKS 60g Jerky Strips - Original,Meat,AB,CA,FALSE,FALSE,FALSE,8,80,9.99,6.49,6.29,4.87,0,0,0,0,0,6,0
00932,ZAKS 60g Jerky Strips - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,8,80,9.99,6.49,6.29,4.87,0,0,0,0,0,12,0
00933,ZAKS 60g Jerky Strips - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,8,80,9.99,6.49,6.29,6.49,0,0,0,0,0,31,0
00941,ZAKS 125g Jerky Strips - Original,Meat,AB,CA,FALSE,FALSE,FALSE,8,80,19.99,12.99,12.59,9.74,0,0,0,0,0,2,0
00942,ZAKS 125g Jerky Strips - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,8,80,19.99,12.99,12.59,9.74,0,0,0,0,0,28,0
